Study_ID,Label
1,"Aghamohammadi et al., 2022"
4,"Arani et al., 2022"
6,"Atta et al., 2024"
8,"Black & Amaro, 2019"
9,"Burgdorf et al., 2022"
10,"Cairncross, 2019"
11,"Cerna et al., 2020"
12,"Chan et al., 2023"
14,"de Carvalho et al., 2021"
16,"Esmaeili et al., 2018"
17,"Fazia et al., 2023a"
18,"Fazia et al., 2023b"
19,"Feruglio et al., 2023"
20,"Gallegos et al., 2020"
21,"Gan et al., 2024"
23,"Gluck & Maercker, 2011"
24,"Godara et al., 2024"
27,"Gu & Zhu, 2023"
28,"Habibi et al., 2024"
30,"Hosseinian et al., 2016"
31,"Isham et al., 2022"
32,"Javadzade et al., 2024"
34,"Kaemmerer et al., 2022"
35,"Kakhki et al., 2022"
37,"Karing & Beelmann, 2021"
38,"Keng et al., 2012"
39,"Keng et al., 2021"
40,"A. H. Y. Lam et al., 2020"
41,"S. Lam et al., 2024"
43,"Lensen et al., 2024"
44,"Li & Qin, 2021"
47,"Ma et al., 2018"
49,"Marchant et al., 2018"
50,"Mehrabi & Tavakoli, 2022"
51,"Mitchell et al., 2017"
53,"Moreno-Gomez et al., 2023"
57,"Norouzi et al., 2023"
58,"Pourkazem et al., 2023"
60,"Ramezani et al., 2019"
62,"Robins et al., 2012"
63,"Roca et al., 2023"
64,"Sadeghi et al., 2023"
66,"Schanche et al., 2020"
68,"Schirda, 2019"
69,"Schulte-Frankenfeld & Trautwein, 2022"
71,"Smithers-Sheedy et al., 2023"
72,"Spinhoven et al., 2022"
74,"Van Dam et al., 2014"
76,"Vaziri et al., 2017"
77,"Wimmer et al., 2019"
78,"Yang et al., 2022"
81,"Zemestani & Fazeli Nikoo, 2020"
82,"Zhang, 2017"
83,"Zhou, 2023"
84,"Zhu et al., 2023"
85,"Costa et al., 2020"
86,"Schlosser et al., 2023"
87,"Krämer et al., n.d."
88,"Andorfer et al., 2026"
89,"Adachi et al., 2026"
90,"Wu et al., 2025"
